id,groupId,artifactId,version,openSource,licenseNames,licenseUrls,name,developers,description,url,pomUrl,,,,,,,,
0B4261A919CA4E499E86641184B877E9,junit,junit,4.8.1,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,-,JUnit is a regression testing framework written by Erich Gamma and Kent Beck. It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
F02BA2D11F1C524F90D0945B7FA85357,junit,junit,4.8.2,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,Erich Gamma;Kent Beck;David Saff,JUnit is a regression testing framework. It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
4B40D440D7A30040BB69690F2A1C4B4E,junit,junit,4.9,TRUE,Common Public License Version 1.0,http://www.opensource.org/licenses/cpl1.0.txt,JUnit,David Saff,JUnit is a regression testing framework written by Erich Gamma and Kent Beck.        It is used by the developer who implements unit tests in Java.,http://junit.org,http://junit.org,,,,,,,,
2745436AD424494B8431E347B3D5DFAC,org.slf4j,slf4j-api,1.1.0,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
BB9ACCBDBB1A4E4294162F7F6605E175,org.slf4j,slf4j-parent,1.1.0,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
7FC5558259CB6F48B604CAFE3C2D86E2,org.slf4j,slf4j-api,1.1.0-RC0,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
455B3682D01EE74D90E35717D53D0D26,org.slf4j,slf4j-api,1.1.0-RC1,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
AE490C6BD7EB814ABD017C597AE5E45F,org.slf4j,slf4j-parent,1.1.0-RC1,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
85713336A4100E49A9941B4948FA2FC8,org.slf4j,slf4j-api,${parent.version},TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
7AFE6EC9F285124F81A952E8BEDA2139,org.slf4j,slf4j-parent,1.1.0-beta0,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
B481B7820734614AACC7F78BF1B89BF4,org.slf4j,slf4j-api,1.2,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
517CE96A2316ED49B7DC0E40EA4DB98D,org.slf4j,slf4j-parent,1.2,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
C6B2F47805DCA547A6F223510966F2C4,org.slf4j,slf4j-api,1.3.0,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
E15C73E97D6F6C48AEACA2010E92D92B,org.slf4j,slf4j-parent,1.3.0,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
7F083DE9D4BDD54EAD660FF5C0D71812,org.slf4j,slf4j-api,1.3.1,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
469F1D5B2AD5FB4DB7C178665A88F4D1,org.slf4j,slf4j-parent,1.3.1,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
589E0A8B5DB18B44ABCC2B08721A5B0B,org.slf4j,slf4j-api,1.4.0,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
A9D8D54E3042CD49948797DC5E5FC693,org.slf4j,slf4j-parent,1.4.0,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
874ECD5844EB0C4786323968CD5C8A64,org.slf4j,slf4j-api,1.4.1,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
230F36DC2C4B294E937BFAB20836C3DB,org.slf4j,slf4j-parent,1.4.1,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
AD93BCB7B7E7074C9D63CA56547F71E7,org.slf4j,slf4j-api,1.4.2,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
AFDF133266D6F944BE3150768D79D213,org.slf4j,slf4j-parent,1.4.2,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
9CBAFABCE79D084893D973E8B5A7C47A,org.slf4j,slf4j-api,1.5.0,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
566E9B47C940CC489C08F95A61761C82,org.slf4j,slf4j-parent,1.5.0,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
7ED500EC6A83B042BA312FC65F5D2412,org.slf4j,slf4j-api,1.5.0-M0,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
1AB3C8AE83D64649B1DA5843D3E32F10,org.slf4j,slf4j-parent,1.5.0-M0,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
CD81FF2C3664314D9E3D22A4D0CC71F9,org.slf4j,slf4j-api,1.5.10,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
0636DBD0915DBC4CB39295FA9A1CD513,org.slf4j,slf4j-parent,1.5.10,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
64D7B99C08C72E4F90294CE459533C80,org.slf4j,slf4j-api,1.5.11,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
EFBC21C8E70726448364E519C3FF9105,org.slf4j,slf4j-parent,1.5.11,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
9559D4B4471B2A41B6CD771CB505269D,org.slf4j,slf4j-api,1.5.2,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
6331551BE46CD84F8C1230436D455F86,org.slf4j,slf4j-parent,1.5.2,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
EB6B72A65640D148BAB518F74A39CD9F,org.slf4j,slf4j-api,1.5.3,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
4DDEA7F6242D7349B834B8FE4F4763DD,org.slf4j,slf4j-parent,1.5.3,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
B904B98580A7214590952D8E8EB1E34E,org.slf4j,slf4j-api,1.5.4,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
C9D19D3409193449866C6CF59B9B2324,org.slf4j,slf4j-parent,1.5.4,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
7CA6F1A0CF345E448E7FCE4708D265A7,org.slf4j,slf4j-api,1.5.5,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
C763575CDE23404A95965D63C7765AD4,org.slf4j,slf4j-parent,1.5.5,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
1FD4DB6E11FB194097B97BF9B3001B86,org.slf4j,slf4j-api,1.5.6,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
9CAE84DC23F0164D9F7FE91BC9F3B25B,org.slf4j,slf4j-parent,1.5.6,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
AEB5B5DEE5776B44A50714E0F1BA92A9,org.slf4j,slf4j-api,1.5.7,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
8D458DCB65E7974F895D67461FBB529D,org.slf4j,slf4j-parent,1.5.7,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
B6E542D8DEBA1F40AC2C38614D5CDA09,org.slf4j,slf4j-api,1.5.8,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
506198D6F11F75449599628DE68FC220,org.slf4j,slf4j-parent,1.5.8,TRUE,-,-,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
956FD2DDE86F5348943C62C36A2080F8,org.slf4j,slf4j-api,1.5.9-RC0,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
04A75FACCD20CB4092A999B326A9EB33,org.slf4j,slf4j-parent,1.5.9-RC0,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
CD14708910695A4EAC31AFAE648C4037,org.slf4j,slf4j-api,1.5.9.RC1,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
C90EC4ADC2FFE448AAAA76C0E8599BBD,org.slf4j,slf4j-parent,1.5.9.RC1,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
AF19B7149B8AEE48A9FB74E31426B824,org.slf4j,slf4j-api,1.6.0,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
7FD838712001E448BE87F48DBF0A4414,org.slf4j,slf4j-parent,1.6.0,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
6A9AA556548D1644AFE0F0682BF855CB,org.slf4j,slf4j-api,1.6.0-RC0,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
DD6CFBC8531EF54B99838FD903920FE7,org.slf4j,slf4j-parent,1.6.0-RC0,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
434999911328A94E8A7007230959A81E,org.slf4j,slf4j-api,1.6.0-alpha2,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
5A03BB7FE4BFC34DBB87E6DE67D8F31C,org.slf4j,slf4j-parent,1.6.0-alpha2,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
8F94E874E48D8D4DBB9F9A4B45E2DAB7,org.slf4j,slf4j-api,1.6.1,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
28E7FC4A50BB2A4893908D46327AEE1C,org.slf4j,slf4j-parent,1.6.1,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
F09B76798DD3334AAC5559C0920EEF09,org.slf4j,slf4j-api,1.6.2,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
0E84209CFA81154D813EB888E9E6D3D4,org.slf4j,slf4j-parent,1.6.2,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
D0694D183056A4499EB70ABBCA3600FB,org.slf4j,slf4j-api,1.6.3,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
D6AF7CE599B3A44E8777BAA37B7EAB99,org.slf4j,slf4j-parent,1.6.3,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
C753CD6DD6B1C2438C2C397E0C848515,org.slf4j,slf4j-api,1.6.4,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
FDA9CDC45538E447BD8BF0CD6D10AB7D,org.slf4j,slf4j-parent,1.6.4,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,-,-,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
7DE2FB0958F7294893625DCC460B3743,org.slf4j,slf4j-api,1.6.5,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
F159437C61521C41A0D864A46FA4C942,org.slf4j,slf4j-parent,1.6.5,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,Ceki Gulcu,Top SLF4J project pom.xml file,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
C250C29A5235A940B15594580F5C986B,org.slf4j,slf4j-api,1.6.6,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
AB817A98D047D54BB0844A486E3D3798,org.slf4j,slf4j-parent,1.6.6,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,Ceki Gulcu,Top SLF4J project pom.xml file,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
424D77360BB8FE43A95C5562B26AC20F,org.slf4j,slf4j-api,1.7.0,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
5F6D6F0E24C3A6499BE01F339B484D37,org.slf4j,slf4j-parent,1.7.0,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,Ceki Gulcu,Top SLF4J project pom.xml file,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
7684A2F108E3C24DAD5D961A4FCBB7AF,org.slf4j,slf4j-api,1.7.1,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
E6987FCE04D8EB449E5FD66171533F90,org.slf4j,slf4j-parent,1.7.1,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,Ceki Gulcu,Top SLF4J project pom.xml file,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
6C6C6CD2DBFA1745846D6E5CB7C1A018,org.slf4j,slf4j-api,1.7.10,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
E6DB3DAF1350A74DABE4266A1FD24B29,org.slf4j,slf4j-parent,1.7.10,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,Ceki Gulcu,Top SLF4J project pom.xml file,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
967BA1377F35E24B80F7413A758EE5D4,org.slf4j,slf4j-api,1.7.11,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
EA63757043B59E409169C5B3891A80A5,org.slf4j,slf4j-parent,1.7.11,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,Ceki Gulcu,Top SLF4J project pom.xml file,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
D471F39EA813FC48948E1098583ADA3C,org.slf4j,slf4j-api,1.7.12,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
ED4DB913B13F5D4C8C07D2B28C4D94CF,org.slf4j,slf4j-parent,1.7.12,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,Ceki Gulcu,Top SLF4J project pom.xml file,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
8E44E52B3B056948AA3425585E2F9819,org.slf4j,slf4j-api,1.7.13,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
CA3DF63DBDDFB541988342731C5FD07D,org.slf4j,slf4j-parent,1.7.13,TRUE,MIT License,http://www.opensource.org/licenses/mit-license.php,SLF4J,Ceki Gulcu,Top SLF4J project pom.xml file,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
DF0FD82EE4052F438C8A21BAA2BB0FAC,org.slf4j,slf4j-api,1.7.14,TRUE,-,-,SLF4J API Module,-,The slf4j API,http://www.slf4j.org,http://www.slf4j.org,,,,,,,,
